"Note"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	289	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	36	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malnutrition (E40-E46)"	"GR113-048"	35	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Parkinson disease (G20-G21)"	"GR113-051"	129	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Alzheimer disease (G30)"	"GR113-052"	380	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	3137	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2317	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Hypertensive heart disease (I11)"	"GR113-056"	169	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	37	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1106	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	430	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	15	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	661	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	107	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	554	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Other heart diseases (I26-I51)"	"GR113-064"	996	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Heart failure (I50)"	"GR113-067"	431	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	557	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	122	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	610	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Atherosclerosis (I70)"	"GR113-071"	15	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	73	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	35	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	38	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	18	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	275	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Influenza (J09-J11)"	"GR113-077"	43	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Pneumonia (J12-J18)"	"GR113-078"	232	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	544	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Emphysema (J43)"	"GR113-084"	39	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Asthma (J45-J46)"	"GR113-085"	14	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	490	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	83	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	148	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Peptic ulcer (K25-K28)"	"GR113-090"	11	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	139	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Alcoholic liver disease (K70)"	"GR113-094"	69	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	70	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	262	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Renal failure (N17-N19)"	"GR113-100"	259	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	34	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	30	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	95	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"All other diseases (Residual) "	"GR113-111"	1290	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	582	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	96	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	85	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	486	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Falls (W00-W19)"	"GR113-118"	131	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	12	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	265	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	72	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	118	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	56	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	62	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	77	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	58	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	19	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)"	"GR113-131"	12	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	12	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	12	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	12	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	34	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Septicemia (A40-A41)"	"GR113-010"	142	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Viral hepatitis (B15-B19)"	"GR113-015"	10	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	10	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	39	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1933	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	32	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	53	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	39	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	158	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	89	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	155	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	11	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	449	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant melanoma of skin (C43)"	"GR113-028"	25	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant neoplasm of breast (C50)"	"GR113-029"	152	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	17	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	48	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	43	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	103	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	47	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	40	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	63	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	169	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	53	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Leukemia (C91-C95)"	"GR113-040"	78	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	37	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	240	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	67	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Anemias (D50-D64)"	"GR113-045"	23	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	257	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	40	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Malnutrition (E40-E46)"	"GR113-048"	40	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Parkinson disease (G20-G21)"	"GR113-051"	141	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Alzheimer disease (G30)"	"GR113-052"	348	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	2994	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2263	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	10	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Hypertensive heart disease (I11)"	"GR113-056"	174	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	36	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1042	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	376	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	13	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	653	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	82	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	571	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Other heart diseases (I26-I51)"	"GR113-064"	1001	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Acute and subacute endocarditis (I33)"	"GR113-065"	10	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Heart failure (I50)"	"GR113-067"	423	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	563	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	125	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	532	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Atherosclerosis (I70)"	"GR113-071"	15	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	59	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	29	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	30	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	21	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	256	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Influenza (J09-J11)"	"GR113-077"	49	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Pneumonia (J12-J18)"	"GR113-078"	207	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	494	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Emphysema (J43)"	"GR113-084"	30	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	455	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	89	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	143	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	127	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Alcoholic liver disease (K70)"	"GR113-094"	59	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	68	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	11	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	239	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Renal failure (N17-N19)"	"GR113-100"	236	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	32	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	31	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	95	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"All other diseases (Residual) "	"GR113-111"	1154	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	530	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	80	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	77	Not Applicable	Not Applicable
	"Illinois"	"17"	"Feb., 2020"	"2020/02"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	450	Not Applicable	Not Applicable
