"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Month"	"Month Code"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"External causes of morbidity and mortality"	"V01-Y89"	114	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"Neoplasms"	"C00-D48"	286	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	70	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"Mental and behavioural disorders"	"F01-F99"	93	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"Diseases of the nervous system"	"G00-G98"	80	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"Diseases of the circulatory system"	"I00-I99"	291	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"Diseases of the respiratory system"	"J00-J98"	93	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"Diseases of the digestive system"	"K00-K92"	59	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"Diseases of the genitourinary system"	"N00-N98"	25	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"Codes for special purposes"	"U00-U99"	12	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"External causes of morbidity and mortality"	"V01-Y89"	119	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"Certain infectious and parasitic diseases"	"A00-B99"	18	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"Neoplasms"	"C00-D48"	300	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	75	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"Mental and behavioural disorders"	"F01-F99"	102	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"Diseases of the nervous system"	"G00-G98"	86	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"Diseases of the circulatory system"	"I00-I99"	334	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"Diseases of the respiratory system"	"J00-J98"	91	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"Diseases of the digestive system"	"K00-K92"	61	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"Diseases of the genitourinary system"	"N00-N98"	17	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"Codes for special purposes"	"U00-U99"	21	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"External causes of morbidity and mortality"	"V01-Y89"	122	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"Neoplasms"	"C00-D48"	286	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	60	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"Mental and behavioural disorders"	"F01-F99"	117	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"Diseases of the nervous system"	"G00-G98"	108	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"Diseases of the circulatory system"	"I00-I99"	324	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"Diseases of the respiratory system"	"J00-J98"	89	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"Diseases of the digestive system"	"K00-K92"	60	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"Diseases of the genitourinary system"	"N00-N98"	22	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"External causes of morbidity and mortality"	"V01-Y89"	145	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"Certain infectious and parasitic diseases"	"A00-B99"	19	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"Neoplasms"	"C00-D48"	295	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	75	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"Mental and behavioural disorders"	"F01-F99"	109	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"Diseases of the nervous system"	"G00-G98"	95	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"Diseases of the circulatory system"	"I00-I99"	348	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"Diseases of the respiratory system"	"J00-J98"	106	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"Diseases of the digestive system"	"K00-K92"	71	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"Diseases of the genitourinary system"	"N00-N98"	30	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"Codes for special purposes"	"U00-U99"	10	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"External causes of morbidity and mortality"	"V01-Y89"	114	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"Certain infectious and parasitic diseases"	"A00-B99"	14	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"Neoplasms"	"C00-D48"	302	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	60	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"Mental and behavioural disorders"	"F01-F99"	118	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"Diseases of the nervous system"	"G00-G98"	112	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"Diseases of the circulatory system"	"I00-I99"	315	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"Diseases of the respiratory system"	"J00-J98"	92	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"Diseases of the digestive system"	"K00-K92"	56	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"Diseases of the genitourinary system"	"N00-N98"	22	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"External causes of morbidity and mortality"	"V01-Y89"	118	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"Certain infectious and parasitic diseases"	"A00-B99"	21	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"Neoplasms"	"C00-D48"	292	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	69	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"Mental and behavioural disorders"	"F01-F99"	120	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"Diseases of the nervous system"	"G00-G98"	111	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"Diseases of the circulatory system"	"I00-I99"	374	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"Diseases of the respiratory system"	"J00-J98"	109	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"Diseases of the digestive system"	"K00-K92"	59	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"Diseases of the genitourinary system"	"N00-N98"	33	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"Codes for special purposes"	"U00-U99"	72	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"External causes of morbidity and mortality"	"V01-Y89"	119	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"Certain infectious and parasitic diseases"	"A00-B99"	19	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"Neoplasms"	"C00-D48"	309	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	62	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"Mental and behavioural disorders"	"F01-F99"	132	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"Diseases of the nervous system"	"G00-G98"	105	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"Diseases of the circulatory system"	"I00-I99"	384	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"Diseases of the respiratory system"	"J00-J98"	111	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"Diseases of the digestive system"	"K00-K92"	46	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	12	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"Diseases of the genitourinary system"	"N00-N98"	34	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"Codes for special purposes"	"U00-U99"	186	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"External causes of morbidity and mortality"	"V01-Y89"	132	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"Certain infectious and parasitic diseases"	"A00-B99"	11	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"Neoplasms"	"C00-D48"	299	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	70	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"Mental and behavioural disorders"	"F01-F99"	112	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"Diseases of the nervous system"	"G00-G98"	102	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"Diseases of the circulatory system"	"I00-I99"	380	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"Diseases of the respiratory system"	"J00-J98"	122	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"Diseases of the digestive system"	"K00-K92"	70	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"Diseases of the genitourinary system"	"N00-N98"	31	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"Codes for special purposes"	"U00-U99"	230	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"External causes of morbidity and mortality"	"V01-Y89"	122	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"Neoplasms"	"C00-D48"	248	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	84	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"Mental and behavioural disorders"	"F01-F99"	115	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"Diseases of the nervous system"	"G00-G98"	86	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"Diseases of the circulatory system"	"I00-I99"	311	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"Diseases of the respiratory system"	"J00-J98"	84	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"Diseases of the digestive system"	"K00-K92"	59	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"Diseases of the genitourinary system"	"N00-N98"	28	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	10	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"Codes for special purposes"	"U00-U99"	83	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"External causes of morbidity and mortality"	"V01-Y89"	101	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"Certain infectious and parasitic diseases"	"A00-B99"	11	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"Neoplasms"	"C00-D48"	288	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	61	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"Mental and behavioural disorders"	"F01-F99"	105	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"Diseases of the nervous system"	"G00-G98"	81	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"Diseases of the circulatory system"	"I00-I99"	341	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"Diseases of the respiratory system"	"J00-J98"	106	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"Diseases of the digestive system"	"K00-K92"	52	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	12	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"Diseases of the genitourinary system"	"N00-N98"	31	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	10	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"Codes for special purposes"	"U00-U99"	31	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"External causes of morbidity and mortality"	"V01-Y89"	137	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	"Neoplasms"	"C00-D48"	309	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	60	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	"Mental and behavioural disorders"	"F01-F99"	105	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	"Diseases of the nervous system"	"G00-G98"	84	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	"Diseases of the circulatory system"	"I00-I99"	332	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	"Diseases of the respiratory system"	"J00-J98"	89	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	"Diseases of the digestive system"	"K00-K92"	69	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	"Diseases of the genitourinary system"	"N00-N98"	29	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	"Codes for special purposes"	"U00-U99"	51	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	"External causes of morbidity and mortality"	"V01-Y89"	140	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2021"	"2021/05"	"Certain infectious and parasitic diseases"	"A00-B99"	18	Not Applicable	Not Applicable
