"Notes"	"Residence State"	"Residence State Code"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Jan., 2020"	"2020/01"	193	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Feb., 2020"	"2020/02"	208	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Mar., 2020"	"2020/03"	234	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Apr., 2020"	"2020/04"	227	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"May, 2020"	"2020/05"	220	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Jun., 2020"	"2020/06"	206	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Jul., 2020"	"2020/07"	249	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Aug., 2020"	"2020/08"	204	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Sep., 2020"	"2020/09"	229	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Oct., 2020"	"2020/10"	213	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Nov., 2020"	"2020/11"	208	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Dec., 2020"	"2020/12"	200	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Jan., 2021"	"2021/01"	215	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Feb., 2021"	"2021/02"	206	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Mar., 2021"	"2021/03"	209	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Apr., 2021"	"2021/04"	227	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"May, 2021"	"2021/05"	234	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Jun., 2021"	"2021/06"	207	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Jul., 2021"	"2021/07"	213	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Aug., 2021"	"2021/08"	213	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Sep., 2021"	"2021/09"	212	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Oct., 2021"	"2021/10"	247	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Nov., 2021"	"2021/11"	222	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Dec., 2021"	"2021/12"	224	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Jan., 2022"	"2022/01"	243	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Feb., 2022"	"2022/02"	215	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Mar., 2022"	"2022/03"	225	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Apr., 2022"	"2022/04"	227	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"May, 2022"	"2022/05"	214	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Jun., 2022"	"2022/06"	216	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Jul., 2022"	"2022/07"	218	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Aug., 2022"	"2022/08"	237	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Sep., 2022"	"2022/09"	218	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Oct., 2022"	"2022/10"	204	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Nov., 2022"	"2022/11"	226	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Dec., 2022"	"2022/12"	243	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Jan., 2023 (provisional)"	"2023/01"	241	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Feb., 2023 (provisional)"	"2023/02"	211	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Mar., 2023 (provisional)"	"2023/03"	264	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Apr., 2023 (provisional)"	"2023/04"	215	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"May, 2023 (provisional)"	"2023/05"	213	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Jun., 2023 (provisional)"	"2023/06"	218	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Jul., 2023 (provisional)"	"2023/07"	218	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Aug., 2023 (provisional)"	"2023/08"	206	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Sep., 2023 (provisional)"	"2023/09"	192	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Oct., 2023 (provisional)"	"2023/10"	241	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Nov., 2023 (provisional)"	"2023/11"	204	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Dec., 2023 (provisional)"	"2023/12"	223	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Jan., 2024 (provisional)"	"2024/01"	239	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Feb., 2024 (provisional)"	"2024/02"	219	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Mar., 2024 (provisional)"	"2024/03"	224	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Apr., 2024 (provisional)"	"2024/04"	229	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"May, 2024 (provisional)"	"2024/05"	199	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Jun., 2024 (provisional)"	"2024/06"	216	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Jul., 2024 (provisional)"	"2024/07"	234	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Aug., 2024 (provisional)"	"2024/08"	235	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Sep., 2024 (provisional)"	"2024/09"	199	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Neoplasms"	"C00-D48"	"Oct., 2024 (provisional)"	"2024/10"	164	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Oct., 2021"	"2021/10"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jan., 2020"	"2020/01"	47	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Feb., 2020"	"2020/02"	43	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Mar., 2020"	"2020/03"	51	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Apr., 2020"	"2020/04"	37	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"May, 2020"	"2020/05"	46	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jun., 2020"	"2020/06"	37	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jul., 2020"	"2020/07"	39	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Aug., 2020"	"2020/08"	43	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Sep., 2020"	"2020/09"	41	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Oct., 2020"	"2020/10"	40	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Nov., 2020"	"2020/11"	34	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Dec., 2020"	"2020/12"	43	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jan., 2021"	"2021/01"	48	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Feb., 2021"	"2021/02"	49	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Mar., 2021"	"2021/03"	35	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Apr., 2021"	"2021/04"	51	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"May, 2021"	"2021/05"	31	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jun., 2021"	"2021/06"	41	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jul., 2021"	"2021/07"	39	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Aug., 2021"	"2021/08"	46	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Sep., 2021"	"2021/09"	54	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Oct., 2021"	"2021/10"	60	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Nov., 2021"	"2021/11"	44	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Dec., 2021"	"2021/12"	44	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jan., 2022"	"2022/01"	48	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Feb., 2022"	"2022/02"	45	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Mar., 2022"	"2022/03"	49	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Apr., 2022"	"2022/04"	44	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"May, 2022"	"2022/05"	54	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jun., 2022"	"2022/06"	52	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jul., 2022"	"2022/07"	44	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Aug., 2022"	"2022/08"	29	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Sep., 2022"	"2022/09"	48	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Oct., 2022"	"2022/10"	45	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Nov., 2022"	"2022/11"	44	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Dec., 2022"	"2022/12"	50	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jan., 2023 (provisional)"	"2023/01"	52	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Feb., 2023 (provisional)"	"2023/02"	44	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Mar., 2023 (provisional)"	"2023/03"	46	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Apr., 2023 (provisional)"	"2023/04"	44	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"May, 2023 (provisional)"	"2023/05"	44	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jun., 2023 (provisional)"	"2023/06"	41	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jul., 2023 (provisional)"	"2023/07"	35	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Aug., 2023 (provisional)"	"2023/08"	53	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Sep., 2023 (provisional)"	"2023/09"	31	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Oct., 2023 (provisional)"	"2023/10"	41	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Nov., 2023 (provisional)"	"2023/11"	61	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Dec., 2023 (provisional)"	"2023/12"	44	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jan., 2024 (provisional)"	"2024/01"	47	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Feb., 2024 (provisional)"	"2024/02"	36	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Mar., 2024 (provisional)"	"2024/03"	46	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Apr., 2024 (provisional)"	"2024/04"	56	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"May, 2024 (provisional)"	"2024/05"	52	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jun., 2024 (provisional)"	"2024/06"	46	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jul., 2024 (provisional)"	"2024/07"	36	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Aug., 2024 (provisional)"	"2024/08"	53	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Sep., 2024 (provisional)"	"2024/09"	34	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Oct., 2024 (provisional)"	"2024/10"	27	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Jan., 2020"	"2020/01"	76	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Feb., 2020"	"2020/02"	88	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Mar., 2020"	"2020/03"	61	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Apr., 2020"	"2020/04"	52	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"May, 2020"	"2020/05"	77	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Jun., 2020"	"2020/06"	71	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Jul., 2020"	"2020/07"	63	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Aug., 2020"	"2020/08"	67	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Sep., 2020"	"2020/09"	69	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Oct., 2020"	"2020/10"	70	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Nov., 2020"	"2020/11"	63	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Dec., 2020"	"2020/12"	63	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Jan., 2021"	"2021/01"	72	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Feb., 2021"	"2021/02"	67	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Mar., 2021"	"2021/03"	88	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Apr., 2021"	"2021/04"	95	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"May, 2021"	"2021/05"	71	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Jun., 2021"	"2021/06"	65	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Jul., 2021"	"2021/07"	68	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mental and behavioural disorders"	"F01-F99"	"Aug., 2021"	"2021/08"	93	Not Applicable	Not Applicable
