"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	"UCD - Injury Intent"	"UCD - Injury Intent Code"	Deaths	Population	Crude Rate
	"Hawaii"	"15"	"Dec., 2021"	"2021/12"	"Suicide"	"2"	14	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2021"	"2021/12"	"Non-Injury, no intent classified"	"9"	996	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2022"	"2022/01"	"Unintentional"	"1"	69	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2022"	"2022/01"	"Suicide"	"2"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2022"	"2022/01"	"Non-Injury, no intent classified"	"9"	1229	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2022"	"2022/02"	"Unintentional"	"1"	56	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2022"	"2022/02"	"Suicide"	"2"	23	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2022"	"2022/02"	"Non-Injury, no intent classified"	"9"	1053	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2022"	"2022/03"	"Unintentional"	"1"	56	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2022"	"2022/03"	"Suicide"	"2"	15	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2022"	"2022/03"	"Non-Injury, no intent classified"	"9"	947	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2022"	"2022/04"	"Unintentional"	"1"	63	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2022"	"2022/04"	"Suicide"	"2"	22	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2022"	"2022/04"	"Non-Injury, no intent classified"	"9"	935	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2022"	"2022/05"	"Unintentional"	"1"	47	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2022"	"2022/05"	"Suicide"	"2"	21	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2022"	"2022/05"	"Non-Injury, no intent classified"	"9"	1045	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2022"	"2022/06"	"Unintentional"	"1"	46	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2022"	"2022/06"	"Suicide"	"2"	22	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2022"	"2022/06"	"Non-Injury, no intent classified"	"9"	984	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2022"	"2022/07"	"Unintentional"	"1"	56	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2022"	"2022/07"	"Suicide"	"2"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2022"	"2022/07"	"Non-Injury, no intent classified"	"9"	978	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2022"	"2022/08"	"Unintentional"	"1"	58	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2022"	"2022/08"	"Suicide"	"2"	21	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2022"	"2022/08"	"Non-Injury, no intent classified"	"9"	1022	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2022"	"2022/09"	"Unintentional"	"1"	65	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2022"	"2022/09"	"Suicide"	"2"	25	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2022"	"2022/09"	"Non-Injury, no intent classified"	"9"	969	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2022"	"2022/10"	"Unintentional"	"1"	47	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2022"	"2022/10"	"Suicide"	"2"	27	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2022"	"2022/10"	"Non-Injury, no intent classified"	"9"	1003	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2022"	"2022/11"	"Unintentional"	"1"	68	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2022"	"2022/11"	"Suicide"	"2"	17	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2022"	"2022/11"	"Non-Injury, no intent classified"	"9"	1011	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2022"	"2022/12"	"Unintentional"	"1"	62	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2022"	"2022/12"	"Suicide"	"2"	23	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2022"	"2022/12"	"Non-Injury, no intent classified"	"9"	1049	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2023 (provisional)"	"2023/01"	"Unintentional"	"1"	48	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2023 (provisional)"	"2023/01"	"Suicide"	"2"	21	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2023 (provisional)"	"2023/01"	"Non-Injury, no intent classified"	"9"	1089	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2023 (provisional)"	"2023/02"	"Unintentional"	"1"	62	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2023 (provisional)"	"2023/02"	"Suicide"	"2"	17	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2023 (provisional)"	"2023/02"	"Non-Injury, no intent classified"	"9"	917	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2023 (provisional)"	"2023/03"	"Unintentional"	"1"	54	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2023 (provisional)"	"2023/03"	"Suicide"	"2"	17	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2023 (provisional)"	"2023/03"	"Non-Injury, no intent classified"	"9"	1094	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2023 (provisional)"	"2023/04"	"Unintentional"	"1"	66	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2023 (provisional)"	"2023/04"	"Suicide"	"2"	17	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2023 (provisional)"	"2023/04"	"Non-Injury, no intent classified"	"9"	936	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2023 (provisional)"	"2023/05"	"Unintentional"	"1"	62	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2023 (provisional)"	"2023/05"	"Suicide"	"2"	21	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2023 (provisional)"	"2023/05"	"Non-Injury, no intent classified"	"9"	936	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2023 (provisional)"	"2023/06"	"Unintentional"	"1"	68	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2023 (provisional)"	"2023/06"	"Suicide"	"2"	13	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2023 (provisional)"	"2023/06"	"Non-Injury, no intent classified"	"9"	918	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2023 (provisional)"	"2023/07"	"Unintentional"	"1"	57	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2023 (provisional)"	"2023/07"	"Suicide"	"2"	20	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2023 (provisional)"	"2023/07"	"Non-Injury, no intent classified"	"9"	940	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2023 (provisional)"	"2023/08"	"Unintentional"	"1"	168	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2023 (provisional)"	"2023/08"	"Suicide"	"2"	28	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2023 (provisional)"	"2023/08"	"Non-Injury, no intent classified"	"9"	974	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2023 (provisional)"	"2023/09"	"Unintentional"	"1"	71	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2023 (provisional)"	"2023/09"	"Suicide"	"2"	21	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2023 (provisional)"	"2023/09"	"Non-Injury, no intent classified"	"9"	866	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2023 (provisional)"	"2023/10"	"Unintentional"	"1"	52	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2023 (provisional)"	"2023/10"	"Suicide"	"2"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2023 (provisional)"	"2023/10"	"Non-Injury, no intent classified"	"9"	940	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2023 (provisional)"	"2023/11"	"Unintentional"	"1"	47	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2023 (provisional)"	"2023/11"	"Suicide"	"2"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2023 (provisional)"	"2023/11"	"Non-Injury, no intent classified"	"9"	943	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2023 (provisional)"	"2023/12"	"Unintentional"	"1"	57	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2023 (provisional)"	"2023/12"	"Suicide"	"2"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2023 (provisional)"	"2023/12"	"Non-Injury, no intent classified"	"9"	989	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2024 (provisional)"	"2024/01"	"Unintentional"	"1"	72	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2024 (provisional)"	"2024/01"	"Suicide"	"2"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2024 (provisional)"	"2024/01"	"Non-Injury, no intent classified"	"9"	1154	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2024 (provisional)"	"2024/02"	"Unintentional"	"1"	56	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2024 (provisional)"	"2024/02"	"Suicide"	"2"	17	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2024 (provisional)"	"2024/02"	"Non-Injury, no intent classified"	"9"	986	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2024 (provisional)"	"2024/03"	"Unintentional"	"1"	51	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2024 (provisional)"	"2024/03"	"Suicide"	"2"	13	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2024 (provisional)"	"2024/03"	"Non-Injury, no intent classified"	"9"	992	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2024 (provisional)"	"2024/04"	"Unintentional"	"1"	50	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2024 (provisional)"	"2024/04"	"Suicide"	"2"	19	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2024 (provisional)"	"2024/04"	"Non-Injury, no intent classified"	"9"	948	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2024 (provisional)"	"2024/05"	"Unintentional"	"1"	15	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2024 (provisional)"	"2024/05"	"Non-Injury, no intent classified"	"9"	983	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2024 (provisional)"	"2024/06"	"Non-Injury, no intent classified"	"9"	1038	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2024 (provisional)"	"2024/07"	"Non-Injury, no intent classified"	"9"	1156	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2024 (provisional)"	"2024/08"	"Non-Injury, no intent classified"	"9"	1097	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2024 (provisional)"	"2024/09"	"Non-Injury, no intent classified"	"9"	947	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2024 (provisional)"	"2024/10"	"Non-Injury, no intent classified"	"9"	868	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jan., 2020"	"2020/01"	"Unintentional"	"1"	54	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jan., 2020"	"2020/01"	"Suicide"	"2"	37	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jan., 2020"	"2020/01"	"Non-Injury, no intent classified"	"9"	1136	Not Applicable	Not Applicable
	"Idaho"	"16"	"Feb., 2020"	"2020/02"	"Unintentional"	"1"	73	Not Applicable	Not Applicable
	"Idaho"	"16"	"Feb., 2020"	"2020/02"	"Suicide"	"2"	31	Not Applicable	Not Applicable
	"Idaho"	"16"	"Feb., 2020"	"2020/02"	"Non-Injury, no intent classified"	"9"	1106	Not Applicable	Not Applicable
	"Idaho"	"16"	"Mar., 2020"	"2020/03"	"Unintentional"	"1"	77	Not Applicable	Not Applicable
	"Idaho"	"16"	"Mar., 2020"	"2020/03"	"Suicide"	"2"	35	Not Applicable	Not Applicable
	"Idaho"	"16"	"Mar., 2020"	"2020/03"	"Non-Injury, no intent classified"	"9"	1207	Not Applicable	Not Applicable
	"Idaho"	"16"	"Apr., 2020"	"2020/04"	"Unintentional"	"1"	59	Not Applicable	Not Applicable
	"Idaho"	"16"	"Apr., 2020"	"2020/04"	"Suicide"	"2"	30	Not Applicable	Not Applicable
	"Idaho"	"16"	"Apr., 2020"	"2020/04"	"Non-Injury, no intent classified"	"9"	1074	Not Applicable	Not Applicable
	"Idaho"	"16"	"May, 2020"	"2020/05"	"Unintentional"	"1"	82	Not Applicable	Not Applicable
	"Idaho"	"16"	"May, 2020"	"2020/05"	"Suicide"	"2"	47	Not Applicable	Not Applicable
	"Idaho"	"16"	"May, 2020"	"2020/05"	"Non-Injury, no intent classified"	"9"	1098	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jun., 2020"	"2020/06"	"Unintentional"	"1"	83	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jun., 2020"	"2020/06"	"Suicide"	"2"	35	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jun., 2020"	"2020/06"	"Non-Injury, no intent classified"	"9"	1098	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jul., 2020"	"2020/07"	"Unintentional"	"1"	98	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jul., 2020"	"2020/07"	"Suicide"	"2"	31	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jul., 2020"	"2020/07"	"Non-Injury, no intent classified"	"9"	1199	Not Applicable	Not Applicable
	"Idaho"	"16"	"Aug., 2020"	"2020/08"	"Unintentional"	"1"	102	Not Applicable	Not Applicable
	"Idaho"	"16"	"Aug., 2020"	"2020/08"	"Suicide"	"2"	32	Not Applicable	Not Applicable
	"Idaho"	"16"	"Aug., 2020"	"2020/08"	"Non-Injury, no intent classified"	"9"	1329	Not Applicable	Not Applicable
	"Idaho"	"16"	"Sep., 2020"	"2020/09"	"Unintentional"	"1"	80	Not Applicable	Not Applicable
	"Idaho"	"16"	"Sep., 2020"	"2020/09"	"Suicide"	"2"	34	Not Applicable	Not Applicable
	"Idaho"	"16"	"Sep., 2020"	"2020/09"	"Non-Injury, no intent classified"	"9"	1223	Not Applicable	Not Applicable
	"Idaho"	"16"	"Oct., 2020"	"2020/10"	"Unintentional"	"1"	85	Not Applicable	Not Applicable
	"Idaho"	"16"	"Oct., 2020"	"2020/10"	"Suicide"	"2"	45	Not Applicable	Not Applicable
	"Idaho"	"16"	"Oct., 2020"	"2020/10"	"Non-Injury, no intent classified"	"9"	1308	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nov., 2020"	"2020/11"	"Unintentional"	"1"	77	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nov., 2020"	"2020/11"	"Suicide"	"2"	33	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nov., 2020"	"2020/11"	"Non-Injury, no intent classified"	"9"	1603	Not Applicable	Not Applicable
	"Idaho"	"16"	"Dec., 2020"	"2020/12"	"Unintentional"	"1"	97	Not Applicable	Not Applicable
	"Idaho"	"16"	"Dec., 2020"	"2020/12"	"Suicide"	"2"	29	Not Applicable	Not Applicable
	"Idaho"	"16"	"Dec., 2020"	"2020/12"	"Non-Injury, no intent classified"	"9"	1564	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jan., 2021"	"2021/01"	"Unintentional"	"1"	86	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jan., 2021"	"2021/01"	"Suicide"	"2"	32	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jan., 2021"	"2021/01"	"Non-Injury, no intent classified"	"9"	1393	Not Applicable	Not Applicable
	"Idaho"	"16"	"Feb., 2021"	"2021/02"	"Unintentional"	"1"	66	Not Applicable	Not Applicable
	"Idaho"	"16"	"Feb., 2021"	"2021/02"	"Suicide"	"2"	41	Not Applicable	Not Applicable
	"Idaho"	"16"	"Feb., 2021"	"2021/02"	"Non-Injury, no intent classified"	"9"	1102	Not Applicable	Not Applicable
	"Idaho"	"16"	"Mar., 2021"	"2021/03"	"Unintentional"	"1"	87	Not Applicable	Not Applicable
	"Idaho"	"16"	"Mar., 2021"	"2021/03"	"Suicide"	"2"	31	Not Applicable	Not Applicable
	"Idaho"	"16"	"Mar., 2021"	"2021/03"	"Non-Injury, no intent classified"	"9"	1253	Not Applicable	Not Applicable
	"Idaho"	"16"	"Apr., 2021"	"2021/04"	"Unintentional"	"1"	83	Not Applicable	Not Applicable
	"Idaho"	"16"	"Apr., 2021"	"2021/04"	"Suicide"	"2"	36	Not Applicable	Not Applicable
	"Idaho"	"16"	"Apr., 2021"	"2021/04"	"Non-Injury, no intent classified"	"9"	1163	Not Applicable	Not Applicable
	"Idaho"	"16"	"May, 2021"	"2021/05"	"Unintentional"	"1"	115	Not Applicable	Not Applicable
	"Idaho"	"16"	"May, 2021"	"2021/05"	"Suicide"	"2"	28	Not Applicable	Not Applicable
	"Idaho"	"16"	"May, 2021"	"2021/05"	"Non-Injury, no intent classified"	"9"	1203	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jun., 2021"	"2021/06"	"Unintentional"	"1"	120	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jun., 2021"	"2021/06"	"Suicide"	"2"	31	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jun., 2021"	"2021/06"	"Non-Injury, no intent classified"	"9"	1155	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jul., 2021"	"2021/07"	"Unintentional"	"1"	98	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jul., 2021"	"2021/07"	"Suicide"	"2"	27	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jul., 2021"	"2021/07"	"Non-Injury, no intent classified"	"9"	1233	Not Applicable	Not Applicable
	"Idaho"	"16"	"Aug., 2021"	"2021/08"	"Unintentional"	"1"	108	Not Applicable	Not Applicable
	"Idaho"	"16"	"Aug., 2021"	"2021/08"	"Suicide"	"2"	36	Not Applicable	Not Applicable
	"Idaho"	"16"	"Aug., 2021"	"2021/08"	"Non-Injury, no intent classified"	"9"	1368	Not Applicable	Not Applicable
	"Idaho"	"16"	"Sep., 2021"	"2021/09"	"Unintentional"	"1"	114	Not Applicable	Not Applicable
	"Idaho"	"16"	"Sep., 2021"	"2021/09"	"Suicide"	"2"	34	Not Applicable	Not Applicable
	"Idaho"	"16"	"Sep., 2021"	"2021/09"	"Non-Injury, no intent classified"	"9"	1817	Not Applicable	Not Applicable
	"Idaho"	"16"	"Oct., 2021"	"2021/10"	"Unintentional"	"1"	90	Not Applicable	Not Applicable
	"Idaho"	"16"	"Oct., 2021"	"2021/10"	"Suicide"	"2"	38	Not Applicable	Not Applicable
	"Idaho"	"16"	"Oct., 2021"	"2021/10"	"Non-Injury, no intent classified"	"9"	1938	Not Applicable	Not Applicable
