"Notes"	"Residence State"	"Residence State Code"	"Place of Death"	"Place of Death Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Hawaii"	"15"	"Medical Facility - Outpatient or ER"	"2"	"#COVID-19 (U07.1)"	"GR113-137"	110	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Dead on Arrival"	"3"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	136	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Dead on Arrival"	"3"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	84	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Dead on Arrival"	"3"	"#Alzheimer disease (G30)"	"GR113-052"	15	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Dead on Arrival"	"3"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	1084	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Dead on Arrival"	"3"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	37	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Dead on Arrival"	"3"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	23	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Dead on Arrival"	"3"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	72	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Dead on Arrival"	"3"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	16	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Dead on Arrival"	"3"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	23	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Dead on Arrival"	"3"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	47	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Dead on Arrival"	"3"	"#COVID-19 (U07.1)"	"GR113-137"	26	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Decedent's home"	"4"	"#Septicemia (A40-A41)"	"GR113-010"	27	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Decedent's home"	"4"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	6506	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Decedent's home"	"4"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	761	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Decedent's home"	"4"	"#Alzheimer disease (G30)"	"GR113-052"	1238	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Decedent's home"	"4"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	5068	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Decedent's home"	"4"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	1342	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Decedent's home"	"4"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	122	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Decedent's home"	"4"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	789	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Decedent's home"	"4"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	253	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Decedent's home"	"4"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	482	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Decedent's home"	"4"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	464	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Decedent's home"	"4"	"#COVID-19 (U07.1)"	"GR113-137"	221	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Hospice facility"	"5"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	927	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Hospice facility"	"5"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	39	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Hospice facility"	"5"	"#Alzheimer disease (G30)"	"GR113-052"	100	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Hospice facility"	"5"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	281	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Hospice facility"	"5"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	295	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Hospice facility"	"5"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	29	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Hospice facility"	"5"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	73	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Hospice facility"	"5"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	26	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Hospice facility"	"5"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	91	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Hospice facility"	"5"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	28	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Hospice facility"	"5"	"#COVID-19 (U07.1)"	"GR113-137"	15	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nursing home/long term care"	"6"	"#Septicemia (A40-A41)"	"GR113-010"	14	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nursing home/long term care"	"6"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	767	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nursing home/long term care"	"6"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	112	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nursing home/long term care"	"6"	"#Alzheimer disease (G30)"	"GR113-052"	402	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nursing home/long term care"	"6"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	954	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nursing home/long term care"	"6"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	528	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nursing home/long term care"	"6"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	67	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nursing home/long term care"	"6"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	150	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nursing home/long term care"	"6"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	59	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nursing home/long term care"	"6"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	132	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nursing home/long term care"	"6"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	95	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nursing home/long term care"	"6"	"#COVID-19 (U07.1)"	"GR113-137"	85	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Other"	"7"	"#Septicemia (A40-A41)"	"GR113-010"	16	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Other"	"7"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	850	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Other"	"7"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	117	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Other"	"7"	"#Alzheimer disease (G30)"	"GR113-052"	830	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Other"	"7"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	1077	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Other"	"7"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	634	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Other"	"7"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	43	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Other"	"7"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	129	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Other"	"7"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	52	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Other"	"7"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	86	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Other"	"7"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	238	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Other"	"7"	"#COVID-19 (U07.1)"	"GR113-137"	67	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Inpatient"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	422	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Inpatient"	"1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2456	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Inpatient"	"1"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	343	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Inpatient"	"1"	"#Alzheimer disease (G30)"	"GR113-052"	75	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Inpatient"	"1"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2893	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Inpatient"	"1"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	1196	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Inpatient"	"1"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	510	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Inpatient"	"1"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	766	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Inpatient"	"1"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	361	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Inpatient"	"1"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	246	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Inpatient"	"1"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	105	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Inpatient"	"1"	"#COVID-19 (U07.1)"	"GR113-137"	3064	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Outpatient or ER"	"2"	"#Septicemia (A40-A41)"	"GR113-010"	39	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Outpatient or ER"	"2"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	143	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Outpatient or ER"	"2"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	126	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Outpatient or ER"	"2"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	998	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Outpatient or ER"	"2"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	79	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Outpatient or ER"	"2"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	35	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Outpatient or ER"	"2"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	105	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Outpatient or ER"	"2"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	41	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Outpatient or ER"	"2"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	19	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Outpatient or ER"	"2"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	72	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Outpatient or ER"	"2"	"#COVID-19 (U07.1)"	"GR113-137"	103	Not Applicable	Not Applicable
	"Idaho"	"16"	"Medical Facility - Dead on Arrival"	"3"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	20	Not Applicable	Not Applicable
	"Idaho"	"16"	"Decedent's home"	"4"	"#Septicemia (A40-A41)"	"GR113-010"	71	Not Applicable	Not Applicable
	"Idaho"	"16"	"Decedent's home"	"4"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	9377	Not Applicable	Not Applicable
	"Idaho"	"16"	"Decedent's home"	"4"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1203	Not Applicable	Not Applicable
	"Idaho"	"16"	"Decedent's home"	"4"	"#Alzheimer disease (G30)"	"GR113-052"	1041	Not Applicable	Not Applicable
	"Idaho"	"16"	"Decedent's home"	"4"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	7599	Not Applicable	Not Applicable
	"Idaho"	"16"	"Decedent's home"	"4"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	1012	Not Applicable	Not Applicable
	"Idaho"	"16"	"Decedent's home"	"4"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	128	Not Applicable	Not Applicable
	"Idaho"	"16"	"Decedent's home"	"4"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2230	Not Applicable	Not Applicable
	"Idaho"	"16"	"Decedent's home"	"4"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	456	Not Applicable	Not Applicable
	"Idaho"	"16"	"Decedent's home"	"4"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	311	Not Applicable	Not Applicable
	"Idaho"	"16"	"Decedent's home"	"4"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	376	Not Applicable	Not Applicable
	"Idaho"	"16"	"Decedent's home"	"4"	"#COVID-19 (U07.1)"	"GR113-137"	722	Not Applicable	Not Applicable
	"Idaho"	"16"	"Hospice facility"	"5"	"#Septicemia (A40-A41)"	"GR113-010"	16	Not Applicable	Not Applicable
	"Idaho"	"16"	"Hospice facility"	"5"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	931	Not Applicable	Not Applicable
	"Idaho"	"16"	"Hospice facility"	"5"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	67	Not Applicable	Not Applicable
	"Idaho"	"16"	"Hospice facility"	"5"	"#Alzheimer disease (G30)"	"GR113-052"	59	Not Applicable	Not Applicable
	"Idaho"	"16"	"Hospice facility"	"5"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	392	Not Applicable	Not Applicable
	"Idaho"	"16"	"Hospice facility"	"5"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	180	Not Applicable	Not Applicable
	"Idaho"	"16"	"Hospice facility"	"5"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	15	Not Applicable	Not Applicable
	"Idaho"	"16"	"Hospice facility"	"5"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	142	Not Applicable	Not Applicable
	"Idaho"	"16"	"Hospice facility"	"5"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	41	Not Applicable	Not Applicable
	"Idaho"	"16"	"Hospice facility"	"5"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	12	Not Applicable	Not Applicable
	"Idaho"	"16"	"Hospice facility"	"5"	"#COVID-19 (U07.1)"	"GR113-137"	131	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nursing home/long term care"	"6"	"#Septicemia (A40-A41)"	"GR113-010"	52	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nursing home/long term care"	"6"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1976	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nursing home/long term care"	"6"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	453	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nursing home/long term care"	"6"	"#Alzheimer disease (G30)"	"GR113-052"	2572	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nursing home/long term care"	"6"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	3521	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nursing home/long term care"	"6"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	1218	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nursing home/long term care"	"6"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	118	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nursing home/long term care"	"6"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1047	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nursing home/long term care"	"6"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	197	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nursing home/long term care"	"6"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	200	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nursing home/long term care"	"6"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	242	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nursing home/long term care"	"6"	"#COVID-19 (U07.1)"	"GR113-137"	836	Not Applicable	Not Applicable
	"Idaho"	"16"	"Other"	"7"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	548	Not Applicable	Not Applicable
	"Idaho"	"16"	"Other"	"7"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	86	Not Applicable	Not Applicable
	"Idaho"	"16"	"Other"	"7"	"#Alzheimer disease (G30)"	"GR113-052"	87	Not Applicable	Not Applicable
	"Idaho"	"16"	"Other"	"7"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	790	Not Applicable	Not Applicable
	"Idaho"	"16"	"Other"	"7"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	94	Not Applicable	Not Applicable
	"Idaho"	"16"	"Other"	"7"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	13	Not Applicable	Not Applicable
	"Idaho"	"16"	"Other"	"7"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	107	Not Applicable	Not Applicable
	"Idaho"	"16"	"Other"	"7"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	30	Not Applicable	Not Applicable
	"Idaho"	"16"	"Other"	"7"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	23	Not Applicable	Not Applicable
	"Idaho"	"16"	"Other"	"7"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	100	Not Applicable	Not Applicable
	"Idaho"	"16"	"Other"	"7"	"#COVID-19 (U07.1)"	"GR113-137"	59	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Inpatient"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	6943	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Inpatient"	"1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	29246	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Inpatient"	"1"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	3143	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Inpatient"	"1"	"#Alzheimer disease (G30)"	"GR113-052"	745	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Inpatient"	"1"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	31581	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Inpatient"	"1"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	10361	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Inpatient"	"1"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	6923	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Inpatient"	"1"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	6399	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Inpatient"	"1"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	3874	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Inpatient"	"1"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	5747	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Inpatient"	"1"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	1694	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Inpatient"	"1"	"#COVID-19 (U07.1)"	"GR113-137"	25835	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Outpatient or ER"	"2"	"#Septicemia (A40-A41)"	"GR113-010"	367	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Outpatient or ER"	"2"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2655	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Outpatient or ER"	"2"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	2244	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Outpatient or ER"	"2"	"#Alzheimer disease (G30)"	"GR113-052"	213	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Outpatient or ER"	"2"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	14969	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Outpatient or ER"	"2"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	918	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Outpatient or ER"	"2"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	390	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Outpatient or ER"	"2"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1564	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Outpatient or ER"	"2"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	372	Not Applicable	Not Applicable
	"Illinois"	"17"	"Medical Facility - Outpatient or ER"	"2"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	618	Not Applicable	Not Applicable
