"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Month"	"Month Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	306	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	39	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"#Alzheimer disease (G30)"	"GR113-052"	44	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	254	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	64	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	41	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	88	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	22	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	25	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	269	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	41	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"#Alzheimer disease (G30)"	"GR113-052"	50	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	233	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	60	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	29	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	78	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	20	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	15	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"#COVID-19 (U07.1)"	"GR113-137"	54	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	277	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	45	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"#Alzheimer disease (G30)"	"GR113-052"	59	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	241	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	56	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	12	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	80	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	15	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	18	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"#COVID-19 (U07.1)"	"GR113-137"	43	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	277	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	37	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"#Alzheimer disease (G30)"	"GR113-052"	44	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	219	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	45	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	64	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	21	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	17	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	289	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	49	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"#Alzheimer disease (G30)"	"GR113-052"	42	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	250	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	50	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	16	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	54	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	20	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	10	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	"#COVID-19 (U07.1)"	"GR113-137"	21	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	278	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	37	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"#Alzheimer disease (G30)"	"GR113-052"	57	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	238	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	60	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	14	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	56	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	19	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	14	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	292	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	49	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"#Alzheimer disease (G30)"	"GR113-052"	47	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	255	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	64	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	17	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	66	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	20	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	23	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	"#COVID-19 (U07.1)"	"GR113-137"	10	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	295	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	40	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"#Alzheimer disease (G30)"	"GR113-052"	49	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	235	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	52	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	64	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	20	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	18	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	287	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	49	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"#Alzheimer disease (G30)"	"GR113-052"	55	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	281	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	64	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	17	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	68	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	24	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	24	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	"#COVID-19 (U07.1)"	"GR113-137"	72	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	297	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	39	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"#Alzheimer disease (G30)"	"GR113-052"	54	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	290	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	62	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	17	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	75	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	18	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	23	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	"#COVID-19 (U07.1)"	"GR113-137"	186	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	288	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	43	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"#Alzheimer disease (G30)"	"GR113-052"	43	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	286	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	63	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	11	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	85	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	23	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	23	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	"#COVID-19 (U07.1)"	"GR113-137"	230	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	240	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	53	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"#Alzheimer disease (G30)"	"GR113-052"	49	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	240	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	49	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	21	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	45	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	16	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	21	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	10	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	"#COVID-19 (U07.1)"	"GR113-137"	83	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	275	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	41	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"#Alzheimer disease (G30)"	"GR113-052"	40	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	261	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	60	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	18	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	71	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	15	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	23	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	"#COVID-19 (U07.1)"	"GR113-137"	31	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	296	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	39	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	"#Alzheimer disease (G30)"	"GR113-052"	36	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	267	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	45	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	13	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	52	Not Applicable	Not Applicable
