"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	% of Total Deaths
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"			977742	90272383	1083.1	4.6%
"Total"	"Census Region 1: Northeast"	"CENS-R1"					3675006	396224807	927.5	17.1%
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"2018"	"2018"	110022	12741080	863.5	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"2019"	"2019"	109096	12671821	860.9	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"2020"	"2020"	132663	12587530	1053.9	0.6%
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"2021"	"2021"	125048	12671469	986.8	0.6%
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"2022"	"2022"	122963	12582032	977.3	0.6%
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"2023 (provisional)"	"2023"	113749	12582032	904.1	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"	"2024 (provisional and partial)"	"2024"	94182	12582032	748.5	0.4%
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Illinois"	"17"			807723	88417996	913.5	3.8%
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"2018"	"2018"	65693	6691878	981.7	0.3%
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"2019"	"2019"	66001	6732219	980.4	0.3%
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"2020"	"2020"	78194	6754953	1157.6	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"2021"	"2021"	78317	6805985	1150.7	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"2022"	"2022"	75368	6833037	1103.0	0.4%
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"2023 (provisional)"	"2023"	69942	6833037	1023.6	0.3%
	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"	"2024 (provisional and partial)"	"2024"	57594	6833037	842.9	0.3%
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Indiana"	"18"			491109	47484146	1034.3	2.3%
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2018"	"2018"	98903	9995915	989.4	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2019"	"2019"	99084	9986857	992.1	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2020"	"2020"	117106	9966555	1175.0	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2021"	"2021"	117782	10050811	1171.9	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2022"	"2022"	110499	10034113	1101.2	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2023 (provisional)"	"2023"	103302	10034113	1029.5	0.5%
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2024 (provisional and partial)"	"2024"	86811	10034113	865.2	0.4%
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"			733487	70102477	1046.3	3.4%
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"2018"	"2018"	124264	11689442	1063.0	0.6%
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"2019"	"2019"	123717	11689100	1058.4	0.6%
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"2020"	"2020"	143700	11693217	1228.9	0.7%
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"2021"	"2021"	147635	11780017	1253.3	0.7%
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"2022"	"2022"	138209	11756058	1175.6	0.6%
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"2023 (provisional)"	"2023"	127813	11756058	1087.2	0.6%
	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"	"2024 (provisional and partial)"	"2024"	105026	11756058	893.4	0.5%
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Ohio"	"39"			910364	82119950	1108.6	4.2%
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"2018"	"2018"	53684	5813568	923.4	0.2%
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"2019"	"2019"	54189	5822434	930.7	0.3%
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"2020"	"2020"	62706	5832655	1075.1	0.3%
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"2021"	"2021"	60973	5895908	1034.2	0.3%
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"2022"	"2022"	60590	5892539	1028.2	0.3%
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"2023 (provisional)"	"2023"	57507	5892539	975.9	0.3%
	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"	"2024 (provisional and partial)"	"2024"	47605	5892539	807.9	0.2%
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Wisconsin"	"55"			397254	41042182	967.9	1.8%
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"2018"	"2018"	30367	3156145	962.2	0.1%
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"2019"	"2019"	30867	3155070	978.3	0.1%
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"2020"	"2020"	35981	3163561	1137.4	0.2%
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"2021"	"2021"	34215	3193079	1071.5	0.2%
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"2022"	"2022"	33973	3200517	1061.5	0.2%
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"2023 (provisional)"	"2023"	32552	3200517	1017.1	0.2%
	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"	"2024 (provisional and partial)"	"2024"	27337	3200517	854.1	0.1%
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Iowa"	"19"			225292	22269406	1011.7	1.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"2018"	"2018"	27537	2911505	945.8	0.1%
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"2019"	"2019"	27682	2913314	950.2	0.1%
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"2020"	"2020"	32060	2913805	1100.3	0.1%
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"2021"	"2021"	32029	2934582	1091.4	0.1%
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"2022"	"2022"	31551	2937150	1074.2	0.1%
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"2023 (provisional)"	"2023"	29267	2937150	996.4	0.1%
	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"	"2024 (provisional and partial)"	"2024"	24465	2937150	833.0	0.1%
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Kansas"	"20"			204591	20484656	998.8	1.0%
	"Census Region 2: Midwest"	"CENS-R2"	"Minnesota"	"27"	"2018"	"2018"	44745	5611179	797.4	0.2%
	"Census Region 2: Midwest"	"CENS-R2"	"Minnesota"	"27"	"2019"	"2019"	45514	5639632	807.0	0.2%
	"Census Region 2: Midwest"	"CENS-R2"	"Minnesota"	"27"	"2020"	"2020"	52372	5657342	925.7	0.2%
	"Census Region 2: Midwest"	"CENS-R2"	"Minnesota"	"27"	"2021"	"2021"	51640	5707390	904.8	0.2%
	"Census Region 2: Midwest"	"CENS-R2"	"Minnesota"	"27"	"2022"	"2022"	51222	5717184	895.9	0.2%
	"Census Region 2: Midwest"	"CENS-R2"	"Minnesota"	"27"	"2023 (provisional)"	"2023"	49203	5717184	860.6	0.2%
	"Census Region 2: Midwest"	"CENS-R2"	"Minnesota"	"27"	"2024 (provisional and partial)"	"2024"	41529	5717184	726.4	0.2%
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Minnesota"	"27"			336225	39767095	845.5	1.6%
	"Census Region 2: Midwest"	"CENS-R2"	"Missouri"	"29"	"2018"	"2018"	63117	6126452	1030.2	0.3%
	"Census Region 2: Midwest"	"CENS-R2"	"Missouri"	"29"	"2019"	"2019"	62401	6137428	1016.7	0.3%
	"Census Region 2: Midwest"	"CENS-R2"	"Missouri"	"29"	"2020"	"2020"	73887	6151548	1201.1	0.3%
	"Census Region 2: Midwest"	"CENS-R2"	"Missouri"	"29"	"2021"	"2021"	73847	6168187	1197.2	0.3%
	"Census Region 2: Midwest"	"CENS-R2"	"Missouri"	"29"	"2022"	"2022"	71851	6177957	1163.0	0.3%
	"Census Region 2: Midwest"	"CENS-R2"	"Missouri"	"29"	"2023 (provisional)"	"2023"	66496	6177957	1076.3	0.3%
	"Census Region 2: Midwest"	"CENS-R2"	"Missouri"	"29"	"2024 (provisional and partial)"	"2024"	54860	6177957	888.0	0.3%
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Missouri"	"29"			466459	43117486	1081.8	2.2%
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2018"	"2018"	16904	1929268	876.2	0.1%
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2019"	"2019"	16970	1934408	877.3	0.1%
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2020"	"2020"	19549	1937552	1009.0	0.1%
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2021"	"2021"	18925	1963692	963.7	0.1%
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2022"	"2022"	18615	1967923	945.9	0.1%
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2023 (provisional)"	"2023"	18306	1967923	930.2	0.1%
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"2024 (provisional and partial)"	"2024"	15161	1967923	770.4	0.1%
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"			124430	13668689	910.3	0.6%
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2018"	"2018"	6445	760077	847.9	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2019"	"2019"	6702	762062	879.5	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2020"	"2020"	8052	765309	1052.1	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2021"	"2021"	7266	774948	937.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2022"	"2022"	7041	779261	903.5	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2023 (provisional)"	"2023"	6832	779261	876.7	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"	"2024 (provisional and partial)"	"2024"	5857	779261	751.6	0.0%
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"North Dakota"	"38"			48195	5400179	892.5	0.2%
	"Census Region 2: Midwest"	"CENS-R2"	"South Dakota"	"46"	"2018"	"2018"	7971	882235	903.5	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"South Dakota"	"46"	"2019"	"2019"	8270	884659	934.8	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"South Dakota"	"46"	"2020"	"2020"	9861	892717	1104.6	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"South Dakota"	"46"	"2021"	"2021"	9185	895376	1025.8	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"South Dakota"	"46"	"2022"	"2022"	9016	909824	991.0	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"South Dakota"	"46"	"2023 (provisional)"	"2023"	8548	909824	939.5	0.0%
	"Census Region 2: Midwest"	"CENS-R2"	"South Dakota"	"46"	"2024 (provisional and partial)"	"2024"	7130	909824	783.7	0.0%
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"South Dakota"	"46"			59981	6284459	954.4	0.3%
"Total"	"Census Region 2: Midwest"	"CENS-R2"					4805110	480158721	1000.7	22.4%
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"2018"	"2018"	9433	967171	975.3	0.0%
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"2019"	"2019"	9302	973764	955.3	0.0%
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"2020"	"2020"	11072	986809	1122.0	0.1%
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"2021"	"2021"	11296	1003384	1125.8	0.1%
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"2022"	"2022"	11351	1018396	1114.6	0.1%
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"2023 (provisional)"	"2023"	10649	1018396	1045.7	0.0%
	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"	"2024 (provisional and partial)"	"2024"	8913	1018396	875.2	0.0%
"Total"	"Census Region 3: South"	"CENS-R3"	"Delaware"	"10"			72016	6986316	1030.8	0.3%
	"Census Region 3: South"	"CENS-R3"	"District of Columbia"	"11"	"2018"	"2018"	5008	702455	712.9	0.0%
	"Census Region 3: South"	"CENS-R3"	"District of Columbia"	"11"	"2019"	"2019"	4927	705749	698.1	0.0%
	"Census Region 3: South"	"CENS-R3"	"District of Columbia"	"11"	"2020"	"2020"	6198	712816	869.5	0.0%
	"Census Region 3: South"	"CENS-R3"	"District of Columbia"	"11"	"2021"	"2021"	5833	670050	870.5	0.0%
	"Census Region 3: South"	"CENS-R3"	"District of Columbia"	"11"	"2022"	"2022"	5385	671803	801.6	0.0%
	"Census Region 3: South"	"CENS-R3"	"District of Columbia"	"11"	"2023 (provisional)"	"2023"	4916	671803	731.8	0.0%
	"Census Region 3: South"	"CENS-R3"	"District of Columbia"	"11"	"2024 (provisional and partial)"	"2024"	3929	671803	584.8	0.0%
"Total"	"Census Region 3: South"	"CENS-R3"	"District of Columbia"	"11"			36196	4806479	753.1	0.2%
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"2018"	"2018"	205426	21299325	964.5	1.0%
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"2019"	"2019"	207002	21477737	963.8	1.0%
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"2020"	"2020"	239685	21733312	1102.8	1.1%
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"2021"	"2021"	261369	21781128	1200.0	1.2%
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"2022"	"2022"	239119	22244823	1074.9	1.1%
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"2023 (provisional)"	"2023"	228940	22244823	1029.2	1.1%
	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"	"2024 (provisional and partial)"	"2024"	189753	22244823	853.0	0.9%
"Total"	"Census Region 3: South"	"CENS-R3"	"Florida"	"12"			1571294	153025971	1026.8	7.3%
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"2018"	"2018"	85202	10519475	809.9	0.4%
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"2019"	"2019"	85814	10617423	808.2	0.4%
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"2020"	"2020"	103075	10710017	962.4	0.5%
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"2021"	"2021"	112272	10799566	1039.6	0.5%
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"2022"	"2022"	102342	10912876	937.8	0.5%
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"2023 (provisional)"	"2023"	96527	10912876	884.5	0.4%
	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"	"2024 (provisional and partial)"	"2024"	78275	10912876	717.3	0.4%
"Total"	"Census Region 3: South"	"CENS-R3"	"Georgia"	"13"			663507	75385109	880.2	3.1%
	"Census Region 3: South"	"CENS-R3"	"Maryland"	"24"	"2018"	"2018"	50568	6042718	836.8	0.2%
	"Census Region 3: South"	"CENS-R3"	"Maryland"	"24"	"2019"	"2019"	50800	6045680	840.3	0.2%
	"Census Region 3: South"	"CENS-R3"	"Maryland"	"24"	"2020"	"2020"	60072	6055802	992.0	0.3%
	"Census Region 3: South"	"CENS-R3"	"Maryland"	"24"	"2021"	"2021"	58117	6165129	942.7	0.3%
	"Census Region 3: South"	"CENS-R3"	"Maryland"	"24"	"2022"	"2022"	56456	6164660	915.8	0.3%
	"Census Region 3: South"	"CENS-R3"	"Maryland"	"24"	"2023 (provisional)"	"2023"	53432	6164660	866.7	0.2%
	"Census Region 3: South"	"CENS-R3"	"Maryland"	"24"	"2024 (provisional and partial)"	"2024"	44661	6164660	724.5	0.2%
"Total"	"Census Region 3: South"	"CENS-R3"	"Maryland"	"24"			374106	42803309	874.0	1.7%
	"Census Region 3: South"	"CENS-R3"	"North Carolina"	"37"	"2018"	"2018"	93885	10383620	904.2	0.4%
	"Census Region 3: South"	"CENS-R3"	"North Carolina"	"37"	"2019"	"2019"	95881	10488084	914.2	0.4%
	"Census Region 3: South"	"CENS-R3"	"North Carolina"	"37"	"2020"	"2020"	109449	10600823	1032.5	0.5%
	"Census Region 3: South"	"CENS-R3"	"North Carolina"	"37"	"2021"	"2021"	118093	10551162	1119.2	0.5%
	"Census Region 3: South"	"CENS-R3"	"North Carolina"	"37"	"2022"	"2022"	112923	10698973	1055.5	0.5%
	"Census Region 3: South"	"CENS-R3"	"North Carolina"	"37"	"2023 (provisional)"	"2023"	107748	10698973	1007.1	0.5%
	"Census Region 3: South"	"CENS-R3"	"North Carolina"	"37"	"2024 (provisional and partial)"	"2024"	89297	10698973	834.6	0.4%
"Total"	"Census Region 3: South"	"CENS-R3"	"North Carolina"	"37"			727276	74120608	981.2	3.4%
	"Census Region 3: South"	"CENS-R3"	"South Carolina"	"45"	"2018"	"2018"	50640	5084127	996.0	0.2%
	"Census Region 3: South"	"CENS-R3"	"South Carolina"	"45"	"2019"	"2019"	50962	5148714	989.8	0.2%
	"Census Region 3: South"	"CENS-R3"	"South Carolina"	"45"	"2020"	"2020"	61223	5218040	1173.3	0.3%
	"Census Region 3: South"	"CENS-R3"	"South Carolina"	"45"	"2021"	"2021"	65422	5190705	1260.4	0.3%
