"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Residence State"	"Residence State Code"	"MCD - ICD Chapter"	"MCD - ICD Chapter Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2023 (provisional)"	"2023"	290	3626205	8.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2024 (provisional and partial)"	"2024"	210	3626205	5.8
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2018"	"2018"	564	3572665	15.8
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2019"	"2019"	554	3565287	15.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2020"	"2020"	567	3557006	15.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2021"	"2021"	517	3605597	14.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2022"	"2022"	549	3626205	15.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2023 (provisional)"	"2023"	560	3626205	15.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"2024 (provisional and partial)"	"2024"	456	3626205	12.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the genitourinary system"	"N00-N99"	"2018"	"2018"	2940	3572665	82.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the genitourinary system"	"N00-N99"	"2019"	"2019"	3031	3565287	85.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the genitourinary system"	"N00-N99"	"2020"	"2020"	3573	3557006	100.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the genitourinary system"	"N00-N99"	"2021"	"2021"	3392	3605597	94.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the genitourinary system"	"N00-N99"	"2022"	"2022"	3485	3626205	96.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the genitourinary system"	"N00-N99"	"2023 (provisional)"	"2023"	2977	3626205	82.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the genitourinary system"	"N00-N99"	"2024 (provisional and partial)"	"2024"	2478	3626205	68.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"2018"	"2018"	14	3572665	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"2019"	"2019"	11	3565287	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"2021"	"2021"	10	3605597	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	"2022"	"2022"	16	3626205	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2018"	"2018"	108	3572665	3.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2019"	"2019"	108	3565287	3.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2020"	"2020"	106	3557006	3.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2021"	"2021"	124	3605597	3.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2022"	"2022"	114	3626205	3.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2023 (provisional)"	"2023"	117	3626205	3.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Certain conditions originating in the perinatal period"	"P00-P96"	"2024 (provisional and partial)"	"2024"	90	3626205	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2018"	"2018"	117	3572665	3.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2019"	"2019"	121	3565287	3.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2020"	"2020"	143	3557006	4.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2021"	"2021"	125	3605597	3.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2022"	"2022"	138	3626205	3.8
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2023 (provisional)"	"2023"	154	3626205	4.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"2024 (provisional and partial)"	"2024"	125	3626205	3.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2018"	"2018"	6004	3572665	168.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2019"	"2019"	5966	3565287	167.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2020"	"2020"	6510	3557006	183.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2021"	"2021"	5874	3605597	162.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2022"	"2022"	5459	3626205	150.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2023 (provisional)"	"2023"	4533	3626205	125.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"2024 (provisional and partial)"	"2024"	3828	3626205	105.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	"2018"	"2018"	3356	3572665	93.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	"2019"	"2019"	3471	3565287	97.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	"2020"	"2020"	3638	3557006	102.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	"2021"	"2021"	3878	3605597	107.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	"2022"	"2022"	3717	3626205	102.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	"2023 (provisional)"	"2023"	3230	3626205	89.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	"2024 (provisional and partial)"	"2024"	1919	3626205	52.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Codes for special purposes"	"U00-U99"	"2020"	"2020"	6220	3557006	174.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Codes for special purposes"	"U00-U99"	"2021"	"2021"	3035	3605597	84.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Codes for special purposes"	"U00-U99"	"2022"	"2022"	2540	3626205	70.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Codes for special purposes"	"U00-U99"	"2023 (provisional)"	"2023"	833	3626205	23.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Codes for special purposes"	"U00-U99"	"2024 (provisional and partial)"	"2024"	499	3626205	13.8
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"External causes of morbidity and mortality"	"V01-Y89"	"2018"	"2018"	3595	3572665	100.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"External causes of morbidity and mortality"	"V01-Y89"	"2019"	"2019"	3767	3565287	105.7
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"External causes of morbidity and mortality"	"V01-Y89"	"2020"	"2020"	3936	3557006	110.7
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"External causes of morbidity and mortality"	"V01-Y89"	"2021"	"2021"	4175	3605597	115.8
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"External causes of morbidity and mortality"	"V01-Y89"	"2022"	"2022"	3928	3626205	108.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"External causes of morbidity and mortality"	"V01-Y89"	"2023 (provisional)"	"2023"	3347	3626205	92.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"External causes of morbidity and mortality"	"V01-Y89"	"2024 (provisional and partial)"	"2024"	1214	3626205	33.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"999--999"	"2024 (provisional and partial)"	"2024"	1145	3626205	31.6
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Certain infectious and parasitic diseases"	"A00-B99"	"2018"	"2018"	853	1338404	63.7
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Certain infectious and parasitic diseases"	"A00-B99"	"2019"	"2019"	733	1344212	54.5
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Certain infectious and parasitic diseases"	"A00-B99"	"2020"	"2020"	634	1350141	47.0
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Certain infectious and parasitic diseases"	"A00-B99"	"2021"	"2021"	701	1372247	51.1
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Certain infectious and parasitic diseases"	"A00-B99"	"2022"	"2022"	652	1385340	47.1
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Certain infectious and parasitic diseases"	"A00-B99"	"2023 (provisional)"	"2023"	670	1385340	48.4
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Certain infectious and parasitic diseases"	"A00-B99"	"2024 (provisional and partial)"	"2024"	533	1385340	38.5
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Neoplasms"	"C00-D48"	"2018"	"2018"	3714	1338404	277.5
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Neoplasms"	"C00-D48"	"2019"	"2019"	3852	1344212	286.6
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Neoplasms"	"C00-D48"	"2020"	"2020"	3952	1350141	292.7
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Neoplasms"	"C00-D48"	"2021"	"2021"	3977	1372247	289.8
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Neoplasms"	"C00-D48"	"2022"	"2022"	4081	1385340	294.6
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Neoplasms"	"C00-D48"	"2023 (provisional)"	"2023"	4010	1385340	289.5
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Neoplasms"	"C00-D48"	"2024 (provisional and partial)"	"2024"	3405	1385340	245.8
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2018"	"2018"	396	1338404	29.6
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2019"	"2019"	398	1344212	29.6
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2020"	"2020"	435	1350141	32.2
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2021"	"2021"	499	1372247	36.4
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2022"	"2022"	525	1385340	37.9
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2023 (provisional)"	"2023"	465	1385340	33.6
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2024 (provisional and partial)"	"2024"	443	1385340	32.0
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2018"	"2018"	2229	1338404	166.5
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2019"	"2019"	2391	1344212	177.9
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2020"	"2020"	2610	1350141	193.3
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2021"	"2021"	3041	1372247	221.6
