"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	"UCD - Drug/Alcohol Induced"	"UCD - Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate
	"Hawaii"	"15"	"Nov., 2020"	"2020/11"	"All other non-drug and non-alcohol causes"	"O"	945	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2020"	"2020/12"	"Drug-induced causes"	"D"	25	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2020"	"2020/12"	"Alcohol-induced causes"	"A"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2020"	"2020/12"	"All other non-drug and non-alcohol causes"	"O"	970	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2021"	"2021/01"	"Drug-induced causes"	"D"	19	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2021"	"2021/01"	"Alcohol-induced causes"	"A"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2021"	"2021/01"	"All other non-drug and non-alcohol causes"	"O"	960	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2021"	"2021/02"	"Drug-induced causes"	"D"	29	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2021"	"2021/02"	"All other non-drug and non-alcohol causes"	"O"	963	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2021"	"2021/03"	"Drug-induced causes"	"D"	20	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2021"	"2021/03"	"Alcohol-induced causes"	"A"	15	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2021"	"2021/03"	"All other non-drug and non-alcohol causes"	"O"	1043	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2021"	"2021/04"	"Drug-induced causes"	"D"	13	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2021"	"2021/04"	"All other non-drug and non-alcohol causes"	"O"	1005	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2021"	"2021/05"	"Drug-induced causes"	"D"	28	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2021"	"2021/05"	"All other non-drug and non-alcohol causes"	"O"	976	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2021"	"2021/06"	"Drug-induced causes"	"D"	24	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2021"	"2021/06"	"Alcohol-induced causes"	"A"	13	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2021"	"2021/06"	"All other non-drug and non-alcohol causes"	"O"	919	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2021"	"2021/07"	"Drug-induced causes"	"D"	42	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2021"	"2021/07"	"Alcohol-induced causes"	"A"	17	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2021"	"2021/07"	"All other non-drug and non-alcohol causes"	"O"	934	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2021"	"2021/08"	"Drug-induced causes"	"D"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2021"	"2021/08"	"Alcohol-induced causes"	"A"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2021"	"2021/08"	"All other non-drug and non-alcohol causes"	"O"	1199	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2021"	"2021/09"	"Drug-induced causes"	"D"	22	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2021"	"2021/09"	"All other non-drug and non-alcohol causes"	"O"	1242	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2021"	"2021/10"	"Drug-induced causes"	"D"	36	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2021"	"2021/10"	"Alcohol-induced causes"	"A"	15	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2021"	"2021/10"	"All other non-drug and non-alcohol causes"	"O"	1099	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2021"	"2021/11"	"Drug-induced causes"	"D"	22	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2021"	"2021/11"	"Alcohol-induced causes"	"A"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2021"	"2021/11"	"All other non-drug and non-alcohol causes"	"O"	1011	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2021"	"2021/12"	"Drug-induced causes"	"D"	20	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2021"	"2021/12"	"Alcohol-induced causes"	"A"	16	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2021"	"2021/12"	"All other non-drug and non-alcohol causes"	"O"	1032	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2022"	"2022/01"	"Drug-induced causes"	"D"	24	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2022"	"2022/01"	"Alcohol-induced causes"	"A"	17	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2022"	"2022/01"	"All other non-drug and non-alcohol causes"	"O"	1274	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2022"	"2022/02"	"Drug-induced causes"	"D"	28	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2022"	"2022/02"	"All other non-drug and non-alcohol causes"	"O"	1102	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2022"	"2022/03"	"Drug-induced causes"	"D"	22	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2022"	"2022/03"	"All other non-drug and non-alcohol causes"	"O"	993	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2022"	"2022/04"	"Drug-induced causes"	"D"	28	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2022"	"2022/04"	"All other non-drug and non-alcohol causes"	"O"	990	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2022"	"2022/05"	"Drug-induced causes"	"D"	21	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2022"	"2022/05"	"Alcohol-induced causes"	"A"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2022"	"2022/05"	"All other non-drug and non-alcohol causes"	"O"	1088	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2022"	"2022/06"	"Drug-induced causes"	"D"	19	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2022"	"2022/06"	"Alcohol-induced causes"	"A"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2022"	"2022/06"	"All other non-drug and non-alcohol causes"	"O"	1025	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2022"	"2022/07"	"Drug-induced causes"	"D"	32	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2022"	"2022/07"	"Alcohol-induced causes"	"A"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2022"	"2022/07"	"All other non-drug and non-alcohol causes"	"O"	1014	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2022"	"2022/08"	"Drug-induced causes"	"D"	25	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2022"	"2022/08"	"All other non-drug and non-alcohol causes"	"O"	1073	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2022"	"2022/09"	"Drug-induced causes"	"D"	37	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2022"	"2022/09"	"All other non-drug and non-alcohol causes"	"O"	1020	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2022"	"2022/10"	"Drug-induced causes"	"D"	23	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2022"	"2022/10"	"Alcohol-induced causes"	"A"	10	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2022"	"2022/10"	"All other non-drug and non-alcohol causes"	"O"	1051	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2022"	"2022/11"	"Drug-induced causes"	"D"	26	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2022"	"2022/11"	"All other non-drug and non-alcohol causes"	"O"	1066	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2022"	"2022/12"	"Drug-induced causes"	"D"	26	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2022"	"2022/12"	"Alcohol-induced causes"	"A"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2022"	"2022/12"	"All other non-drug and non-alcohol causes"	"O"	1101	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2023 (provisional)"	"2023/01"	"Drug-induced causes"	"D"	19	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2023 (provisional)"	"2023/01"	"Alcohol-induced causes"	"A"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2023 (provisional)"	"2023/01"	"All other non-drug and non-alcohol causes"	"O"	1133	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2023 (provisional)"	"2023/02"	"Drug-induced causes"	"D"	27	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2023 (provisional)"	"2023/02"	"All other non-drug and non-alcohol causes"	"O"	969	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2023 (provisional)"	"2023/03"	"Drug-induced causes"	"D"	26	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2023 (provisional)"	"2023/03"	"All other non-drug and non-alcohol causes"	"O"	1137	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2023 (provisional)"	"2023/04"	"Drug-induced causes"	"D"	33	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2023 (provisional)"	"2023/04"	"All other non-drug and non-alcohol causes"	"O"	991	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2023 (provisional)"	"2023/05"	"Drug-induced causes"	"D"	35	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2023 (provisional)"	"2023/05"	"Alcohol-induced causes"	"A"	10	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2023 (provisional)"	"2023/05"	"All other non-drug and non-alcohol causes"	"O"	978	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2023 (provisional)"	"2023/06"	"Drug-induced causes"	"D"	42	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2023 (provisional)"	"2023/06"	"All other non-drug and non-alcohol causes"	"O"	953	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2023 (provisional)"	"2023/07"	"Drug-induced causes"	"D"	36	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2023 (provisional)"	"2023/07"	"All other non-drug and non-alcohol causes"	"O"	979	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2023 (provisional)"	"2023/08"	"Drug-induced causes"	"D"	43	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2023 (provisional)"	"2023/08"	"Alcohol-induced causes"	"A"	10	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2023 (provisional)"	"2023/08"	"All other non-drug and non-alcohol causes"	"O"	1127	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2023 (provisional)"	"2023/09"	"Drug-induced causes"	"D"	27	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2023 (provisional)"	"2023/09"	"Alcohol-induced causes"	"A"	10	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2023 (provisional)"	"2023/09"	"All other non-drug and non-alcohol causes"	"O"	931	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2023 (provisional)"	"2023/10"	"Drug-induced causes"	"D"	17	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2023 (provisional)"	"2023/10"	"All other non-drug and non-alcohol causes"	"O"	987	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2023 (provisional)"	"2023/11"	"Drug-induced causes"	"D"	23	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2023 (provisional)"	"2023/11"	"All other non-drug and non-alcohol causes"	"O"	976	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2023 (provisional)"	"2023/12"	"Drug-induced causes"	"D"	22	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2023 (provisional)"	"2023/12"	"All other non-drug and non-alcohol causes"	"O"	1042	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2024 (provisional)"	"2024/01"	"Drug-induced causes"	"D"	37	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2024 (provisional)"	"2024/01"	"Alcohol-induced causes"	"A"	10	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2024 (provisional)"	"2024/01"	"All other non-drug and non-alcohol causes"	"O"	1203	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2024 (provisional)"	"2024/02"	"Drug-induced causes"	"D"	16	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2024 (provisional)"	"2024/02"	"Alcohol-induced causes"	"A"	13	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2024 (provisional)"	"2024/02"	"All other non-drug and non-alcohol causes"	"O"	1033	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2024 (provisional)"	"2024/03"	"Drug-induced causes"	"D"	25	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2024 (provisional)"	"2024/03"	"All other non-drug and non-alcohol causes"	"O"	1030	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2024 (provisional)"	"2024/04"	"Drug-induced causes"	"D"	24	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2024 (provisional)"	"2024/04"	"All other non-drug and non-alcohol causes"	"O"	987	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2024 (provisional)"	"2024/05"	"All other non-drug and non-alcohol causes"	"O"	956	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2024 (provisional)"	"2024/05"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"N"	40	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2024 (provisional)"	"2024/06"	"All other non-drug and non-alcohol causes"	"O"	962	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2024 (provisional)"	"2024/06"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"N"	66	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2024 (provisional)"	"2024/07"	"All other non-drug and non-alcohol causes"	"O"	1085	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2024 (provisional)"	"2024/07"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"N"	65	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2024 (provisional)"	"2024/08"	"All other non-drug and non-alcohol causes"	"O"	1020	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2024 (provisional)"	"2024/08"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"N"	69	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2024 (provisional)"	"2024/09"	"All other non-drug and non-alcohol causes"	"O"	889	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2024 (provisional)"	"2024/09"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"N"	49	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2024 (provisional)"	"2024/10"	"All other non-drug and non-alcohol causes"	"O"	853	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2024 (provisional)"	"2024/10"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"N"	13	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jan., 2020"	"2020/01"	"Drug-induced causes"	"D"	19	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jan., 2020"	"2020/01"	"Alcohol-induced causes"	"A"	26	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jan., 2020"	"2020/01"	"All other non-drug and non-alcohol causes"	"O"	1186	Not Applicable	Not Applicable
	"Idaho"	"16"	"Feb., 2020"	"2020/02"	"Drug-induced causes"	"D"	25	Not Applicable	Not Applicable
	"Idaho"	"16"	"Feb., 2020"	"2020/02"	"Alcohol-induced causes"	"A"	23	Not Applicable	Not Applicable
	"Idaho"	"16"	"Feb., 2020"	"2020/02"	"All other non-drug and non-alcohol causes"	"O"	1171	Not Applicable	Not Applicable
	"Idaho"	"16"	"Mar., 2020"	"2020/03"	"Drug-induced causes"	"D"	25	Not Applicable	Not Applicable
	"Idaho"	"16"	"Mar., 2020"	"2020/03"	"Alcohol-induced causes"	"A"	29	Not Applicable	Not Applicable
	"Idaho"	"16"	"Mar., 2020"	"2020/03"	"All other non-drug and non-alcohol causes"	"O"	1271	Not Applicable	Not Applicable
	"Idaho"	"16"	"Apr., 2020"	"2020/04"	"Drug-induced causes"	"D"	18	Not Applicable	Not Applicable
	"Idaho"	"16"	"Apr., 2020"	"2020/04"	"Alcohol-induced causes"	"A"	22	Not Applicable	Not Applicable
	"Idaho"	"16"	"Apr., 2020"	"2020/04"	"All other non-drug and non-alcohol causes"	"O"	1129	Not Applicable	Not Applicable
	"Idaho"	"16"	"May, 2020"	"2020/05"	"Drug-induced causes"	"D"	28	Not Applicable	Not Applicable
	"Idaho"	"16"	"May, 2020"	"2020/05"	"Alcohol-induced causes"	"A"	27	Not Applicable	Not Applicable
	"Idaho"	"16"	"May, 2020"	"2020/05"	"All other non-drug and non-alcohol causes"	"O"	1178	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jun., 2020"	"2020/06"	"Drug-induced causes"	"D"	24	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jun., 2020"	"2020/06"	"Alcohol-induced causes"	"A"	24	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jun., 2020"	"2020/06"	"All other non-drug and non-alcohol causes"	"O"	1175	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jul., 2020"	"2020/07"	"Drug-induced causes"	"D"	30	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jul., 2020"	"2020/07"	"Alcohol-induced causes"	"A"	26	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jul., 2020"	"2020/07"	"All other non-drug and non-alcohol causes"	"O"	1276	Not Applicable	Not Applicable
	"Idaho"	"16"	"Aug., 2020"	"2020/08"	"Drug-induced causes"	"D"	22	Not Applicable	Not Applicable
	"Idaho"	"16"	"Aug., 2020"	"2020/08"	"Alcohol-induced causes"	"A"	32	Not Applicable	Not Applicable
	"Idaho"	"16"	"Aug., 2020"	"2020/08"	"All other non-drug and non-alcohol causes"	"O"	1416	Not Applicable	Not Applicable
	"Idaho"	"16"	"Sep., 2020"	"2020/09"	"Drug-induced causes"	"D"	26	Not Applicable	Not Applicable
	"Idaho"	"16"	"Sep., 2020"	"2020/09"	"Alcohol-induced causes"	"A"	33	Not Applicable	Not Applicable
	"Idaho"	"16"	"Sep., 2020"	"2020/09"	"All other non-drug and non-alcohol causes"	"O"	1281	Not Applicable	Not Applicable
	"Idaho"	"16"	"Oct., 2020"	"2020/10"	"Drug-induced causes"	"D"	27	Not Applicable	Not Applicable
	"Idaho"	"16"	"Oct., 2020"	"2020/10"	"Alcohol-induced causes"	"A"	39	Not Applicable	Not Applicable
	"Idaho"	"16"	"Oct., 2020"	"2020/10"	"All other non-drug and non-alcohol causes"	"O"	1380	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nov., 2020"	"2020/11"	"Drug-induced causes"	"D"	25	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nov., 2020"	"2020/11"	"Alcohol-induced causes"	"A"	35	Not Applicable	Not Applicable
	"Idaho"	"16"	"Nov., 2020"	"2020/11"	"All other non-drug and non-alcohol causes"	"O"	1656	Not Applicable	Not Applicable
	"Idaho"	"16"	"Dec., 2020"	"2020/12"	"Drug-induced causes"	"D"	26	Not Applicable	Not Applicable
	"Idaho"	"16"	"Dec., 2020"	"2020/12"	"Alcohol-induced causes"	"A"	33	Not Applicable	Not Applicable
	"Idaho"	"16"	"Dec., 2020"	"2020/12"	"All other non-drug and non-alcohol causes"	"O"	1639	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jan., 2021"	"2021/01"	"Drug-induced causes"	"D"	24	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jan., 2021"	"2021/01"	"Alcohol-induced causes"	"A"	43	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jan., 2021"	"2021/01"	"All other non-drug and non-alcohol causes"	"O"	1451	Not Applicable	Not Applicable
	"Idaho"	"16"	"Feb., 2021"	"2021/02"	"Drug-induced causes"	"D"	18	Not Applicable	Not Applicable
	"Idaho"	"16"	"Feb., 2021"	"2021/02"	"Alcohol-induced causes"	"A"	30	Not Applicable	Not Applicable
	"Idaho"	"16"	"Feb., 2021"	"2021/02"	"All other non-drug and non-alcohol causes"	"O"	1176	Not Applicable	Not Applicable
	"Idaho"	"16"	"Mar., 2021"	"2021/03"	"Drug-induced causes"	"D"	23	Not Applicable	Not Applicable
	"Idaho"	"16"	"Mar., 2021"	"2021/03"	"Alcohol-induced causes"	"A"	32	Not Applicable	Not Applicable
	"Idaho"	"16"	"Mar., 2021"	"2021/03"	"All other non-drug and non-alcohol causes"	"O"	1320	Not Applicable	Not Applicable
	"Idaho"	"16"	"Apr., 2021"	"2021/04"	"Drug-induced causes"	"D"	35	Not Applicable	Not Applicable
	"Idaho"	"16"	"Apr., 2021"	"2021/04"	"Alcohol-induced causes"	"A"	26	Not Applicable	Not Applicable
	"Idaho"	"16"	"Apr., 2021"	"2021/04"	"All other non-drug and non-alcohol causes"	"O"	1229	Not Applicable	Not Applicable
	"Idaho"	"16"	"May, 2021"	"2021/05"	"Drug-induced causes"	"D"	35	Not Applicable	Not Applicable
	"Idaho"	"16"	"May, 2021"	"2021/05"	"Alcohol-induced causes"	"A"	35	Not Applicable	Not Applicable
	"Idaho"	"16"	"May, 2021"	"2021/05"	"All other non-drug and non-alcohol causes"	"O"	1283	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jun., 2021"	"2021/06"	"Drug-induced causes"	"D"	43	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jun., 2021"	"2021/06"	"Alcohol-induced causes"	"A"	33	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jun., 2021"	"2021/06"	"All other non-drug and non-alcohol causes"	"O"	1237	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jul., 2021"	"2021/07"	"Drug-induced causes"	"D"	39	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jul., 2021"	"2021/07"	"Alcohol-induced causes"	"A"	30	Not Applicable	Not Applicable
	"Idaho"	"16"	"Jul., 2021"	"2021/07"	"All other non-drug and non-alcohol causes"	"O"	1297	Not Applicable	Not Applicable
	"Idaho"	"16"	"Aug., 2021"	"2021/08"	"Drug-induced causes"	"D"	29	Not Applicable	Not Applicable
	"Idaho"	"16"	"Aug., 2021"	"2021/08"	"Alcohol-induced causes"	"A"	29	Not Applicable	Not Applicable
	"Idaho"	"16"	"Aug., 2021"	"2021/08"	"All other non-drug and non-alcohol causes"	"O"	1464	Not Applicable	Not Applicable
	"Idaho"	"16"	"Sep., 2021"	"2021/09"	"Drug-induced causes"	"D"	40	Not Applicable	Not Applicable
	"Idaho"	"16"	"Sep., 2021"	"2021/09"	"Alcohol-induced causes"	"A"	33	Not Applicable	Not Applicable
	"Idaho"	"16"	"Sep., 2021"	"2021/09"	"All other non-drug and non-alcohol causes"	"O"	1903	Not Applicable	Not Applicable
	"Idaho"	"16"	"Oct., 2021"	"2021/10"	"Drug-induced causes"	"D"	26	Not Applicable	Not Applicable
	"Idaho"	"16"	"Oct., 2021"	"2021/10"	"Alcohol-induced causes"	"A"	48	Not Applicable	Not Applicable
