"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2018"	"2018/02"	54293	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Mar., 2018"	"2018/03"	56722	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Apr., 2018"	"2018/04"	54127	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2018"	"2018/05"	52405	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jun., 2018"	"2018/06"	49786	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jul., 2018"	"2018/07"	51070	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Aug., 2018"	"2018/08"	51012	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Sep., 2018"	"2018/09"	50587	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Oct., 2018"	"2018/10"	54060	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Nov., 2018"	"2018/11"	53636	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Dec., 2018"	"2018/12"	56339	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2019"	"2019/01"	58499	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2019"	"2019/02"	52407	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Mar., 2019"	"2019/03"	57680	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Apr., 2019"	"2019/04"	53271	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2019"	"2019/05"	54104	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jun., 2019"	"2019/06"	51010	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jul., 2019"	"2019/07"	52210	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Aug., 2019"	"2019/08"	51933	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Sep., 2019"	"2019/09"	51381	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Oct., 2019"	"2019/10"	54933	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Nov., 2019"	"2019/11"	54953	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Dec., 2019"	"2019/12"	58112	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2020"	"2020/01"	60095	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2020"	"2020/02"	55691	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Mar., 2020"	"2020/03"	60483	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Apr., 2020"	"2020/04"	66879	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2020"	"2020/05"	63471	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jun., 2020"	"2020/06"	55962	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jul., 2020"	"2020/07"	57425	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Aug., 2020"	"2020/08"	58803	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Sep., 2020"	"2020/09"	57565	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Oct., 2020"	"2020/10"	65257	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Nov., 2020"	"2020/11"	78273	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Dec., 2020"	"2020/12"	86227	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2021"	"2021/01"	73903	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2021"	"2021/02"	58014	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Mar., 2021"	"2021/03"	57660	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Apr., 2021"	"2021/04"	57502	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2021"	"2021/05"	57787	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jun., 2021"	"2021/06"	54157	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jul., 2021"	"2021/07"	56428	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Aug., 2021"	"2021/08"	61326	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Sep., 2021"	"2021/09"	64490	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Oct., 2021"	"2021/10"	67353	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Nov., 2021"	"2021/11"	68978	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Dec., 2021"	"2021/12"	79264	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2022"	"2022/01"	84663	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2022"	"2022/02"	63209	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Mar., 2022"	"2022/03"	59388	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Apr., 2022"	"2022/04"	54781	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2022"	"2022/05"	56622	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jun., 2022"	"2022/06"	54450	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jul., 2022"	"2022/07"	56901	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Aug., 2022"	"2022/08"	57124	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Sep., 2022"	"2022/09"	55759	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Oct., 2022"	"2022/10"	59833	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Nov., 2022"	"2022/11"	60309	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Dec., 2022"	"2022/12"	67859	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2023 (provisional)"	"2023/01"	63035	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2023 (provisional)"	"2023/02"	54441	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Mar., 2023 (provisional)"	"2023/03"	59852	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Apr., 2023 (provisional)"	"2023/04"	56315	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2023 (provisional)"	"2023/05"	56415	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jun., 2023 (provisional)"	"2023/06"	53189	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jul., 2023 (provisional)"	"2023/07"	53816	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Aug., 2023 (provisional)"	"2023/08"	54451	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Sep., 2023 (provisional)"	"2023/09"	54132	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Oct., 2023 (provisional)"	"2023/10"	57476	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Nov., 2023 (provisional)"	"2023/11"	57745	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Dec., 2023 (provisional)"	"2023/12"	62650	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2024 (provisional)"	"2024/01"	64654	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Feb., 2024 (provisional)"	"2024/02"	56754	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Mar., 2024 (provisional)"	"2024/03"	58819	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Apr., 2024 (provisional)"	"2024/04"	55153	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2024 (provisional)"	"2024/05"	55159	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jun., 2024 (provisional)"	"2024/06"	52819	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jul., 2024 (provisional)"	"2024/07"	53872	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Aug., 2024 (provisional)"	"2024/08"	54670	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Sep., 2024 (provisional)"	"2024/09"	52917	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Oct., 2024 (provisional)"	"2024/10"	52292	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Nov., 2024 (provisional and partial)"	"2024/11"	10448	Not Applicable	Not Applicable
"Total"	"Census Region 2: Midwest"	"CENS-R2"			4805110	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jan., 2018"	"2018/01"	113993	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Feb., 2018"	"2018/02"	93640	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Mar., 2018"	"2018/03"	96486	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Apr., 2018"	"2018/04"	90609	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"May, 2018"	"2018/05"	90719	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jun., 2018"	"2018/06"	87201	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jul., 2018"	"2018/07"	89069	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Aug., 2018"	"2018/08"	89215	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Sep., 2018"	"2018/09"	86530	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Oct., 2018"	"2018/10"	91729	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Nov., 2018"	"2018/11"	92344	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Dec., 2018"	"2018/12"	99430	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jan., 2019"	"2019/01"	100587	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Feb., 2019"	"2019/02"	91605	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Mar., 2019"	"2019/03"	99911	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Apr., 2019"	"2019/04"	93340	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"May, 2019"	"2019/05"	94016	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jun., 2019"	"2019/06"	89900	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jul., 2019"	"2019/07"	91381	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Aug., 2019"	"2019/08"	90714	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Sep., 2019"	"2019/09"	88208	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Oct., 2019"	"2019/10"	93494	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Nov., 2019"	"2019/11"	94802	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Dec., 2019"	"2019/12"	101574	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jan., 2020"	"2020/01"	104050	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Feb., 2020"	"2020/02"	96412	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Mar., 2020"	"2020/03"	103863	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Apr., 2020"	"2020/04"	106824	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"May, 2020"	"2020/05"	106649	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jun., 2020"	"2020/06"	101300	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jul., 2020"	"2020/07"	121530	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Aug., 2020"	"2020/08"	120059	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Sep., 2020"	"2020/09"	107071	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Oct., 2020"	"2020/10"	111643	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Nov., 2020"	"2020/11"	116992	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Dec., 2020"	"2020/12"	139145	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jan., 2021"	"2021/01"	151844	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Feb., 2021"	"2021/02"	116900	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Mar., 2021"	"2021/03"	109860	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Apr., 2021"	"2021/04"	104125	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"May, 2021"	"2021/05"	104958	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jun., 2021"	"2021/06"	99881	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jul., 2021"	"2021/07"	107046	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Aug., 2021"	"2021/08"	138595	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Sep., 2021"	"2021/09"	140713	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Oct., 2021"	"2021/10"	121598	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Nov., 2021"	"2021/11"	110513	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Dec., 2021"	"2021/12"	119418	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jan., 2022"	"2022/01"	146372	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Feb., 2022"	"2022/02"	120643	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Mar., 2022"	"2022/03"	109219	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Apr., 2022"	"2022/04"	98947	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"May, 2022"	"2022/05"	101265	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jun., 2022"	"2022/06"	100553	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jul., 2022"	"2022/07"	106016	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Aug., 2022"	"2022/08"	105703	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Sep., 2022"	"2022/09"	101697	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Oct., 2022"	"2022/10"	106867	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Nov., 2022"	"2022/11"	106289	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Dec., 2022"	"2022/12"	117249	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jan., 2023 (provisional)"	"2023/01"	116642	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Feb., 2023 (provisional)"	"2023/02"	100167	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Mar., 2023 (provisional)"	"2023/03"	107525	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Apr., 2023 (provisional)"	"2023/04"	100191	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"May, 2023 (provisional)"	"2023/05"	101807	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jun., 2023 (provisional)"	"2023/06"	98008	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Jul., 2023 (provisional)"	"2023/07"	100815	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Aug., 2023 (provisional)"	"2023/08"	102850	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Sep., 2023 (provisional)"	"2023/09"	99821	Not Applicable	Not Applicable
	"Census Region 3: South"	"CENS-R3"	"Oct., 2023 (provisional)"	"2023/10"	103287	Not Applicable	Not Applicable
