"Notes"	"Residence Census Region"	"Residence Census Region Code"	"MMWR Week"	"MMWR Week Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	171	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	159	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"#Septicemia (A40-A41)"	"GR113-010"	159	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2120	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	259	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"#Alzheimer disease (G30)"	"GR113-052"	351	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2615	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	458	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	496	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	543	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	202	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	215	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	153	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"#Septicemia (A40-A41)"	"GR113-010"	195	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2065	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	246	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"#Alzheimer disease (G30)"	"GR113-052"	325	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2549	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	455	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	454	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	487	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	193	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	183	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	135	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"#Septicemia (A40-A41)"	"GR113-010"	170	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2054	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	266	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"#Alzheimer disease (G30)"	"GR113-052"	285	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2607	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	474	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	375	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	539	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	162	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	195	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	139	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"#Septicemia (A40-A41)"	"GR113-010"	193	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2049	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	269	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"#Alzheimer disease (G30)"	"GR113-052"	299	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2558	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	393	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	320	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	474	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	163	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	194	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	138	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"#Septicemia (A40-A41)"	"GR113-010"	173	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2002	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	267	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"#Alzheimer disease (G30)"	"GR113-052"	307	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2474	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	421	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	300	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	505	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	179	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	195	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	124	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"#Septicemia (A40-A41)"	"GR113-010"	163	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2099	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	257	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"#Alzheimer disease (G30)"	"GR113-052"	347	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2546	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	471	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	260	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	476	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	174	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	166	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	117	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"#Septicemia (A40-A41)"	"GR113-010"	185	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2077	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	235	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"#Alzheimer disease (G30)"	"GR113-052"	322	Not Applicable	Not Applicable
