"Notes"	"Residence State"	"Residence State Code"	"Gender"	"Gender Code"	"Month"	"Month Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Hawaii"	"15"	"Female"	"F"	"Feb., 2020"	"2020/02"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	14	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Mar., 2020"	"2020/03"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	97	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Mar., 2020"	"2020/03"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Mar., 2020"	"2020/03"	"#Alzheimer disease (G30)"	"GR113-052"	39	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Mar., 2020"	"2020/03"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	99	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Mar., 2020"	"2020/03"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	35	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Mar., 2020"	"2020/03"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Mar., 2020"	"2020/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	17	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Apr., 2020"	"2020/04"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	95	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Apr., 2020"	"2020/04"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Apr., 2020"	"2020/04"	"#Alzheimer disease (G30)"	"GR113-052"	29	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Apr., 2020"	"2020/04"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	67	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Apr., 2020"	"2020/04"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	47	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Apr., 2020"	"2020/04"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	10	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Apr., 2020"	"2020/04"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	10	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"May, 2020"	"2020/05"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	97	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"May, 2020"	"2020/05"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	15	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"May, 2020"	"2020/05"	"#Alzheimer disease (G30)"	"GR113-052"	35	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"May, 2020"	"2020/05"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	90	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"May, 2020"	"2020/05"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	46	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"May, 2020"	"2020/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	17	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jun., 2020"	"2020/06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	94	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jun., 2020"	"2020/06"	"#Alzheimer disease (G30)"	"GR113-052"	33	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jun., 2020"	"2020/06"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	79	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jun., 2020"	"2020/06"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	34	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jun., 2020"	"2020/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	19	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jul., 2020"	"2020/07"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	110	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jul., 2020"	"2020/07"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	13	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jul., 2020"	"2020/07"	"#Alzheimer disease (G30)"	"GR113-052"	36	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jul., 2020"	"2020/07"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	78	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jul., 2020"	"2020/07"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	39	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jul., 2020"	"2020/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jul., 2020"	"2020/07"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	10	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Aug., 2020"	"2020/08"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	95	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Aug., 2020"	"2020/08"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	10	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Aug., 2020"	"2020/08"	"#Alzheimer disease (G30)"	"GR113-052"	42	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Aug., 2020"	"2020/08"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	91	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Aug., 2020"	"2020/08"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	42	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Aug., 2020"	"2020/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	13	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Aug., 2020"	"2020/08"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	10	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Aug., 2020"	"2020/08"	"#COVID-19 (U07.1)"	"GR113-137"	21	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Sep., 2020"	"2020/09"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	81	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Sep., 2020"	"2020/09"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	15	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Sep., 2020"	"2020/09"	"#Alzheimer disease (G30)"	"GR113-052"	48	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Sep., 2020"	"2020/09"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	75	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Sep., 2020"	"2020/09"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	33	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Sep., 2020"	"2020/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	14	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Sep., 2020"	"2020/09"	"#COVID-19 (U07.1)"	"GR113-137"	45	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Oct., 2020"	"2020/10"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	100	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Oct., 2020"	"2020/10"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	16	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Oct., 2020"	"2020/10"	"#Alzheimer disease (G30)"	"GR113-052"	33	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Oct., 2020"	"2020/10"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	78	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Oct., 2020"	"2020/10"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	34	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Oct., 2020"	"2020/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	13	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Oct., 2020"	"2020/10"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Oct., 2020"	"2020/10"	"#COVID-19 (U07.1)"	"GR113-137"	23	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Nov., 2020"	"2020/11"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	89	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Nov., 2020"	"2020/11"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Nov., 2020"	"2020/11"	"#Alzheimer disease (G30)"	"GR113-052"	33	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Nov., 2020"	"2020/11"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	88	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Nov., 2020"	"2020/11"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	38	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Nov., 2020"	"2020/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	13	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Dec., 2020"	"2020/12"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	81	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Dec., 2020"	"2020/12"	"#Alzheimer disease (G30)"	"GR113-052"	28	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Dec., 2020"	"2020/12"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	95	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Dec., 2020"	"2020/12"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	39	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Dec., 2020"	"2020/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Dec., 2020"	"2020/12"	"#COVID-19 (U07.1)"	"GR113-137"	19	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jan., 2021"	"2021/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	101	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jan., 2021"	"2021/01"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jan., 2021"	"2021/01"	"#Alzheimer disease (G30)"	"GR113-052"	25	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jan., 2021"	"2021/01"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	77	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jan., 2021"	"2021/01"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	35	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jan., 2021"	"2021/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	15	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jan., 2021"	"2021/01"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jan., 2021"	"2021/01"	"#COVID-19 (U07.1)"	"GR113-137"	24	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Feb., 2021"	"2021/02"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	108	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Feb., 2021"	"2021/02"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	14	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Feb., 2021"	"2021/02"	"#Alzheimer disease (G30)"	"GR113-052"	35	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Feb., 2021"	"2021/02"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	91	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Feb., 2021"	"2021/02"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	51	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Feb., 2021"	"2021/02"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	10	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Mar., 2021"	"2021/03"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	98	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Mar., 2021"	"2021/03"	"#Alzheimer disease (G30)"	"GR113-052"	33	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Mar., 2021"	"2021/03"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	107	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Mar., 2021"	"2021/03"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	40	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Mar., 2021"	"2021/03"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Apr., 2021"	"2021/04"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	90	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Apr., 2021"	"2021/04"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	14	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Apr., 2021"	"2021/04"	"#Alzheimer disease (G30)"	"GR113-052"	37	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Apr., 2021"	"2021/04"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	93	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Apr., 2021"	"2021/04"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	44	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Apr., 2021"	"2021/04"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	14	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Apr., 2021"	"2021/04"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"May, 2021"	"2021/05"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	96	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"May, 2021"	"2021/05"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"May, 2021"	"2021/05"	"#Alzheimer disease (G30)"	"GR113-052"	25	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"May, 2021"	"2021/05"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	87	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"May, 2021"	"2021/05"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	42	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"May, 2021"	"2021/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	17	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"May, 2021"	"2021/05"	"#COVID-19 (U07.1)"	"GR113-137"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jun., 2021"	"2021/06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	91	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jun., 2021"	"2021/06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jun., 2021"	"2021/06"	"#Alzheimer disease (G30)"	"GR113-052"	39	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jun., 2021"	"2021/06"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	68	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jun., 2021"	"2021/06"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	42	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jun., 2021"	"2021/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jun., 2021"	"2021/06"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jul., 2021"	"2021/07"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	102	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jul., 2021"	"2021/07"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	15	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jul., 2021"	"2021/07"	"#Alzheimer disease (G30)"	"GR113-052"	26	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jul., 2021"	"2021/07"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	65	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jul., 2021"	"2021/07"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	44	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Aug., 2021"	"2021/08"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	111	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Aug., 2021"	"2021/08"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	10	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Aug., 2021"	"2021/08"	"#Alzheimer disease (G30)"	"GR113-052"	45	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Aug., 2021"	"2021/08"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	107	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Aug., 2021"	"2021/08"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	47	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Aug., 2021"	"2021/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Aug., 2021"	"2021/08"	"#COVID-19 (U07.1)"	"GR113-137"	54	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Sep., 2021"	"2021/09"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	95	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Sep., 2021"	"2021/09"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	14	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Sep., 2021"	"2021/09"	"#Alzheimer disease (G30)"	"GR113-052"	31	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Sep., 2021"	"2021/09"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	106	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Sep., 2021"	"2021/09"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	59	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Sep., 2021"	"2021/09"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	13	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Sep., 2021"	"2021/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Sep., 2021"	"2021/09"	"#COVID-19 (U07.1)"	"GR113-137"	99	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Oct., 2021"	"2021/10"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	111	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Oct., 2021"	"2021/10"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	15	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Oct., 2021"	"2021/10"	"#Alzheimer disease (G30)"	"GR113-052"	35	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Oct., 2021"	"2021/10"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	87	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Oct., 2021"	"2021/10"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	41	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Oct., 2021"	"2021/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	17	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Oct., 2021"	"2021/10"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Oct., 2021"	"2021/10"	"#COVID-19 (U07.1)"	"GR113-137"	30	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Nov., 2021"	"2021/11"	"#Septicemia (A40-A41)"	"GR113-010"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Nov., 2021"	"2021/11"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	100	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Nov., 2021"	"2021/11"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	14	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Nov., 2021"	"2021/11"	"#Alzheimer disease (G30)"	"GR113-052"	30	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Nov., 2021"	"2021/11"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	96	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Nov., 2021"	"2021/11"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	51	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Nov., 2021"	"2021/11"	"#COVID-19 (U07.1)"	"GR113-137"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Dec., 2021"	"2021/12"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	103	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Dec., 2021"	"2021/12"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	15	Not Applicable	Not Applicable
